logger_ID,res,PLC,PRC,TLC,HLI,SLP,TP3,TP5,TR3,TR5,HSD,VR3,VR5,SLR,ASP
333,151,3.83e-4,-7.44e-4,-3.61e-4,0.8754284682508894,19.97383320173275,-12.325591437085675,-39.74391323297186,145.16982979571586,454.48222994423753,0.6958589424276215,0.02467585152337248,0.07714211295923279,0.3486091536143972,249.477623910263
334,151,1.02e-4,-0.001099,-9.969999999999998e-4,0.7847772288076627,10.941373954008128,-18.185362309451193,-53.785267780109734,101.61673371349006,390.9474599982007,0.6876882244548373,0.03254739893590219,0.08652905121137267,0.19096300018939247,247.09693552711695
335,151,-3.84e-4,2.05e-4,-1.79e-4,0.9103397420725248,24.16762243396357,-2.9736329564561856,-17.67060277561177,165.94592580992898,528.8527664505622,0.7671333143491188,0.0063622674460626,0.02098064600413807,0.42180458385151015,234.8219560781797
336,151,1.25e-4,-7.64e-4,-6.39e-4,0.8678813928195884,20.70140671532524,-14.246055675488606,-45.92071728710471,150.84253577329875,498.993675554265,0.6069461082247142,0.02462699640509713,0.06490700988746312,0.36130770697688985,268.8023806371979
337,151,-2.05e-4,-6.01e-4,-8.06e-4,0.9633352243364914,31.497010455712747,-17.83122865505038,-46.506571633029125,232.76106062019196,688.4964216148974,0.6497202438623858,0.01365651705767667,0.04068884262434924,0.549726536987267,255.28869055805023
338,151,-3e-6,-4.3e-5,-4.6e-5,0.9414932073324735,24.45504102941861,-3.806166560867041,-20.75953568417026,168.61913424418077,469.77668471844675,0.7279516410121747,0.00658263518619306,0.02610844819585711,0.4268209846736582,243.23123521855737
339,151,-1.06e-4,-0.001599,-0.001705,0.8472062444925494,15.644101632811266,-24.133186213887257,-48.018388512120055,139.2842920004092,423.0678338136291,0.7002394848975213,0.01877745149391918,0.04545337569191499,0.27304108200917754,246.83432626054957
340,151,-5.89e-4,-4.85e-4,-0.001074,0.9329226749233164,28.037214111999692,-17.108811971213527,-28.064644342113752,203.86361518006257,522.9672533957571,0.7884335736492387,0.00545574493293565,0.02250558018770676,0.4893416993410129,232.12157700845836
341,151,-1.38e-4,-0.00104,-0.00117799999999999,0.8930297820089009,22.098269804221736,-20.38069055892356,-54.70675545985796,165.95084595125024,547.1191319607044,0.6499374610202799,0.02306301047212444,0.06216814267418247,0.385687567077712,259.1253221122597
342,151,-6.74e-4,-9.81e-4,-0.001655,0.8945374902906945,19.17358136200467,-23.92161080431606,-57.49855678915901,149.69420137044858,497.22939184007487,0.6166886648525551,0.01885125406757404,0.04568791094151192,0.33464212416600025,267.82285143764966
343,151,-6.6e-5,-9.25e-4,-9.91e-4,0.8371407167745984,17.192308518665158,-17.58021968703997,-52.02075909328232,132.5092450903403,481.5812124181769,0.6187847208326452,0.02771562722748855,0.07104934004523811,0.300062389669376,268.8060287673058
344,151,-1.03e-4,-6.31e-4,-7.340000000000001e-4,0.9506627246636858,30.963086870865236,-17.331117888833433,-48.5278085356731,231.95795780879223,691.7915525573845,0.5985584886375337,0.01532108477407723,0.04216473852119873,0.5404078124776267,263.09698453056
345,151,1.17e-4,-9.94e-4,-8.770000000000001e-4,0.9047706610327516,20.17083504924199,-14.986408009734076,-36.7640598402686,148.2085689959877,429.5943418731408,0.70979086857820906,0.01213365110714548,0.03537755303572465,0.35204748448594525,246.24013286130983
346,151,1.29e-4,-0.001501,-0.001372,0.8502178007079925,16.188361505558117,-20.704780205599945,-44.761380467739855,137.73260831333883,423.88171241180265,0.7018537730718696,0.02035404586411537,0.0488658524590142,0.28254020877509545,246.6778684261102
347,151,-9.66e-4,-0.00148,-0.002446,0.8478532980383012,18.878917440240496,-41.80977798473168,-91.44889280272446,197.7955559858675,629.2143053293555,0.5921187556889407,0.06504590105424413,0.08414280299794863,0.3294992685443765,273.72182963454003
