species,deviance,null_mod,index,resolution,dev_explained,kind,index2
Agrostis schraderiana,0.16498164504457336,0.1361607240263606,MSVF,1,0.02882092101821276,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.1667378779396782,0.1361607240263606,MSVF,3,0.03057715391331761,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.16743670849025494,0.1361607240263606,MSVF,7,0.03127598446389434,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.17218503745009894,0.1361607240263606,MSVF,15,0.03602431342373835,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.1807615442507684,0.1361607240263606,MSVF,19,0.04460082022440781,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.18831424544121644,0.1361607240263606,MSVF,25,0.05215352141485585,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.1909320375620568,0.1361607240263606,MSVF,31,0.0547713135356962,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.18629314929642604,0.1361607240263606,MSVF,51,0.05013242527006545,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.18207680062997444,0.1361607240263606,MSVF,71,0.045916076603613853,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.18513632404951652,0.1361607240263606,MSVF,101,0.04897560002315593,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.18349652762078628,0.1361607240263606,MSVF,151,0.04733580359442568,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.16923087608912102,0.1361607240263606,MSVF,201,0.03307015206276043,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.1510310306832945,0.1361607240263606,MSVF,301,0.01487030665693389,species,Sky View Factor (MSVF)
Agrostis schraderiana,0.1712364867312942,0.1361607240263606,MVS,1,0.03507576270493362,species,Visible Sky (MVS)
Agrostis schraderiana,0.17287123064691112,0.1361607240263606,MVS,3,0.03671050662055053,species,Visible Sky (MVS)
Agrostis schraderiana,0.17454548160893435,0.1361607240263606,MVS,7,0.03838475758257376,species,Visible Sky (MVS)
Agrostis schraderiana,0.17566075875180498,0.1361607240263606,MVS,15,0.03950003472544439,species,Visible Sky (MVS)
Agrostis schraderiana,0.17185016230916328,0.1361607240263606,MVS,19,0.03568943828280269,species,Visible Sky (MVS)
Agrostis schraderiana,0.1774043333462083,0.1361607240263606,MVS,25,0.04124360931984772,species,Visible Sky (MVS)
Agrostis schraderiana,0.16433352294740478,0.1361607240263606,MVS,31,0.02817279892104418,species,Visible Sky (MVS)
Agrostis schraderiana,0.1483068695077917,0.1361607240263606,MVS,51,0.01214614548143111,species,Visible Sky (MVS)
Agrostis schraderiana,0.139629239436187,0.1361607240263606,MVS,71,0.0034685154098264,species,Visible Sky (MVS)
Agrostis schraderiana,0.13866358307062254,0.1361607240263606,MVS,101,0.00250285904426195,species,Visible Sky (MVS)
Agrostis schraderiana,0.1391554447598402,0.1361607240263606,MVS,151,0.00299472073347961,species,Visible Sky (MVS)
Agrostis schraderiana,0.14124120924534722,0.1361607240263606,MVS,201,0.00508048521898663,species,Visible Sky (MVS)
Agrostis schraderiana,0.14295346205607917,0.1361607240263606,MVS,301,0.00679273802971858,species,Visible Sky (MVS)
Agrostis schraderiana,0.14538349071197476,0.1361607240263606,PLC,1,0.00922276668561417,species,Planform Curvature (PLC)
Agrostis schraderiana,0.1522430223860104,0.1361607240263606,PLC,3,0.0160822983596498,species,Planform Curvature (PLC)
Agrostis schraderiana,0.16252148604452865,0.1361607240263606,PLC,7,0.02636076201816806,species,Planform Curvature (PLC)
