index,formulas,species,rsq,rsq_full
500,"poly(TWI_15, 2) + poly(TP5_3, 2) + poly(VR3_1, 2) + poly(TR5_1, 2) + poly(SLP_7, 2)",Achillea erba-rotta subsp. moschata,0.08965208602603036,0.11342384707456288
501,"poly(TLC_15, 2) + poly(TWI_7, 2) + poly(MDI_1, 2) + poly(VR3_19, 2) + poly(TWI_1, 2)",Achillea erba-rotta subsp. moschata,0.12363402389146882,0.17113925509372763
502,"poly(MDI_1, 2) + poly(HLI_15, 2) + poly(SLP_15, 2) + poly(TP5_19, 2) + poly(HLI_19, 2)",Achillea erba-rotta subsp. moschata,0.11101177430203168,0.14571214403200172
503,"poly(MDI_1, 2) + poly(VR3_7, 2) + poly(SLP_3, 2) + poly(SLP_15, 2) + poly(SLP_19, 2)",Achillea erba-rotta subsp. moschata,0.12705007024580162,0.1691714428879113
504,"poly(MDI_3, 2) + poly(SLP_15, 2) + poly(TP5_3, 2) + poly(TP5_15, 2) + poly(TWI_19, 2)",Achillea erba-rotta subsp. moschata,0.12850833455916133,0.1648852049716083
505,"poly(SLP_3, 2) + poly(HLI_15, 2) + poly(SLP_19, 2) + poly(PLC_15, 2) + poly(TP5_7, 2)",Achillea erba-rotta subsp. moschata,0.10590086977161917,0.1308563618539207
506,"poly(HLI_7, 2) + poly(HLI_1, 2) + poly(VR3_7, 2) + poly(TP5_3, 2) + poly(TLC_3, 2)",Achillea erba-rotta subsp. moschata,0.05352964609965016,0.08273191288258552
507,"poly(TP5_1, 2) + poly(TR5_3, 2) + poly(PLC_7, 2) + poly(MDI_15, 2) + poly(MDI_1, 2)",Achillea erba-rotta subsp. moschata,0.1111122618903373,0.17374003865280885
508,"poly(VR3_1, 2) + poly(TWI_7, 2) + poly(MDI_7, 2) + poly(PLC_7, 2) + poly(TP5_3, 2)",Achillea erba-rotta subsp. moschata,0.11586616552819717,0.17834402589063458
509,"poly(VR3_7, 2) + poly(TWI_1, 2) + poly(HLI_1, 2) + poly(HLI_19, 2) + poly(TLC_3, 2)",Achillea erba-rotta subsp. moschata,0.08792349757901319,0.11465962967458765
510,"poly(TWI_15, 2) + poly(TWI_1, 2) + poly(TP5_15, 2) + poly(HLI_1, 2) + poly(TR5_7, 2)",Achillea erba-rotta subsp. moschata,0.12381846626437343,0.14343962427534585
511,"poly(TP5_7, 2) + poly(HLI_19, 2) + poly(PLC_15, 2) + poly(VR3_3, 2) + poly(TP5_1, 2)",Achillea erba-rotta subsp. moschata,0.06664277202821112,0.09393627924678516
512,"poly(TWI_7, 2) + poly(MDI_1, 2) + poly(PLC_7, 2) + poly(MDI_3, 2) + poly(MDI_15, 2)",Achillea erba-rotta subsp. moschata,0.12209174895256536,0.18574386159492529
513,"poly(MDI_19, 2) + poly(MDI_1, 2) + poly(VR3_15, 2) + poly(HLI_7, 2) + poly(SLP_7, 2)",Achillea erba-rotta subsp. moschata,0.11044513875926454,0.17606612380294184
514,"poly(MDI_1, 2) + poly(TWI_15, 2) + poly(TP5_3, 2) + poly(SLP_7, 2) + poly(HLI_19, 2)",Achillea erba-rotta subsp. moschata,0.11460016657323668,0.15374197277523471
515,"poly(SLP_19, 2) + poly(HLI_3, 2) + poly(PLC_1, 2) + poly(MDI_15, 2) + poly(TLC_3, 2)",Achillea erba-rotta subsp. moschata,0.11082689016488978,0.17233813033822742
516,"poly(PLC_3, 2) + poly(TR5_15, 2) + poly(TWI_3, 2) + poly(HLI_1, 2) + poly(MDI_19, 2)",Achillea erba-rotta subsp. moschata,0.13354348264451377,0.18513996964976676
517,"poly(HLI_3, 2) + poly(MDI_15, 2) + poly(TP5_1, 2) + poly(MDI_3, 2) + poly(TLC_15, 2)",Achillea erba-rotta subsp. moschata,0.11551761046331221,0.17985605788019443
518,"poly(PLC_19, 2) + poly(MDI_3, 2) + poly(SLP_15, 2) + poly(MDI_19, 2) + poly(HLI_19, 2)",Achillea erba-rotta subsp. moschata,0.12969388966936224,0.1837832207177571
519,"poly(MDI_19, 2) + poly(HLI_15, 2) + poly(HLI_1, 2) + poly(MDI_15, 2) + poly(TP5_7, 2)",Achillea erba-rotta subsp. moschata,0.10564063222513997,0.1772914368949019
520,"poly(TR5_1, 2) + poly(SLP_15, 2) + poly(TWI_7, 2) + poly(HLI_1, 2) + poly(TR5_7, 2)",Achillea erba-rotta subsp. moschata,0.10404539226561704,0.12676497039622658
521,"poly(MDI_7, 2) + poly(TLC_19, 2) + poly(SLP_7, 2) + poly(PLC_3, 2) + poly(MDI_19, 2)",Achillea erba-rotta subsp. moschata,0.12216687825167016,0.1824478982620562
522,"poly(TLC_3, 2) + poly(SLP_7, 2) + poly(HLI_3, 2) + poly(PLC_3, 2) + poly(VR3_19, 2)",Achillea erba-rotta subsp. moschata,0.0691295825482875,0.09691921247703283
523,"poly(VR3_7, 2) + poly(TWI_19, 2) + poly(VR3_1, 2) + poly(TLC_15, 2) + poly(TLC_19, 2)",Achillea erba-rotta subsp. moschata,0.0769687544836678,0.10896182527836307
524,"poly(TLC_19, 2) + poly(SLP_3, 2) + poly(SLP_15, 2) + poly(HLI_15, 2) + poly(SLP_19, 2)",Achillea erba-rotta subsp. moschata,0.10580383523235626,0.13087352035599653
525,"poly(TP5_7, 2) + poly(TLC_3, 2) + poly(TR5_1, 2) + poly(TWI_1, 2) + poly(MDI_15, 2)",Achillea erba-rotta subsp. moschata,0.12522982257067694,0.18240513333077146
526,"poly(VR3_7, 2) + poly(MDI_15, 2) + poly(TP5_3, 2) + poly(TWI_19, 2) + poly(PLC_7, 2)",Achillea erba-rotta subsp. moschata,0.14409476777316832,0.20066756298290045
527,"poly(MDI_19, 2) + poly(TLC_1, 2) + poly(HLI_3, 2) + poly(PLC_15, 2) + poly(HLI_1, 2)",Achillea erba-rotta subsp. moschata,0.11316363422039821,0.18336457906078274
528,"poly(TLC_19, 2) + poly(TLC_15, 2) + poly(TR5_7, 2) + poly(MDI_3, 2) + poly(SLP_15, 2)",Achillea erba-rotta subsp. moschata,0.11590727998625983,0.1518042903798278
529,"poly(PLC_15, 2) + poly(TP5_15, 2) + poly(MDI_15, 2) + poly(SLP_15, 2) + poly(TLC_7, 2)",Achillea erba-rotta subsp. moschata,0.13666226171700624,0.18741747337178305
530,"poly(MDI_19, 2) + poly(HLI_15, 2) + poly(TLC_7, 2) + poly(VR3_15, 2) + poly(TLC_19, 2)",Achillea erba-rotta subsp. moschata,0.12177984281024501,0.19137432106420993
531,"poly(MDI_7, 2) + poly(PLC_15, 2) + poly(TLC_15, 2) + poly(VR3_19, 2) + poly(MDI_19, 2)",Achillea erba-rotta subsp. moschata,0.10178581582635815,0.17932698469406416
532,"poly(HLI_3, 2) + poly(PLC_1, 2) + poly(HLI_15, 2) + poly(HLI_1, 2) + poly(VR3_19, 2)",Achillea erba-rotta subsp. moschata,0.040719925717026095,0.06844749823828966
