index,formulas,species,rsq,rsq_full
600,"poly(TR5_1, 2) + poly(TLC_1, 2) + poly(VR3_19, 2) + poly(HLI_15, 2) + poly(TLC_15, 2)",Achillea erba-rotta subsp. moschata,0.0655379014369063,0.09215097331985644
601,"poly(MDI_15, 2) + poly(HLI_7, 2) + poly(HLI_15, 2) + poly(TWI_7, 2) + poly(TR5_7, 2)",Achillea erba-rotta subsp. moschata,0.12080470114666675,0.1748104451981164
602,"poly(TLC_1, 2) + poly(TWI_19, 2) + poly(MDI_7, 2) + poly(HLI_19, 2) + poly(PLC_1, 2)",Achillea erba-rotta subsp. moschata,0.1233319214643368,0.17893962946655306
603,"poly(VR3_19, 2) + poly(PLC_19, 2) + poly(TP5_7, 2) + poly(PLC_15, 2) + poly(TWI_19, 2)",Achillea erba-rotta subsp. moschata,0.0810774449092766,0.10896513894591364
604,"poly(TP5_7, 2) + poly(VR3_3, 2) + poly(TWI_19, 2) + poly(MDI_1, 2) + poly(TWI_1, 2)",Achillea erba-rotta subsp. moschata,0.13856569915727213,0.18402944297781387
605,"poly(MDI_19, 2) + poly(HLI_3, 2) + poly(TLC_15, 2) + poly(VR3_15, 2) + poly(TLC_1, 2)",Achillea erba-rotta subsp. moschata,0.10971165871425881,0.18411317375924396
606,"poly(TLC_3, 2) + poly(MDI_19, 2) + poly(HLI_7, 2) + poly(HLI_1, 2) + poly(MDI_3, 2)",Achillea erba-rotta subsp. moschata,0.09617002272170516,0.17942183177198112
607,"poly(SLP_19, 2) + poly(VR3_3, 2) + poly(HLI_7, 2) + poly(TR5_15, 2) + poly(TR5_7, 2)",Achillea erba-rotta subsp. moschata,0.09849315186085272,0.12418169543098379
608,"poly(TR5_15, 2) + poly(PLC_3, 2) + poly(SLP_7, 2) + poly(PLC_15, 2) + poly(SLP_19, 2)",Achillea erba-rotta subsp. moschata,0.10605901514177352,0.12665545103929288
609,"poly(MDI_19, 2) + poly(HLI_3, 2) + poly(TR5_19, 2) + poly(TWI_3, 2) + poly(VR3_15, 2)",Achillea erba-rotta subsp. moschata,0.13417060369369527,0.18259612876059705
610,"poly(SLP_15, 2) + poly(TWI_19, 2) + poly(PLC_3, 2) + poly(MDI_15, 2) + poly(TLC_7, 2)",Achillea erba-rotta subsp. moschata,0.13968191048419787,0.1936276003768056
611,"poly(TR5_19, 2) + poly(TLC_7, 2) + poly(TWI_1, 2) + poly(MDI_7, 2) + poly(PLC_1, 2)",Achillea erba-rotta subsp. moschata,0.1415629862143566,0.1877055584445153
612,"poly(TR5_3, 2) + poly(SLP_19, 2) + poly(PLC_15, 2) + poly(PLC_7, 2) + poly(VR3_15, 2)",Achillea erba-rotta subsp. moschata,0.1085412089605633,0.12704524247338966
613,"poly(MDI_7, 2) + poly(TP5_15, 2) + poly(MDI_19, 2) + poly(SLP_15, 2) + poly(PLC_19, 2)",Achillea erba-rotta subsp. moschata,0.1281788811068295,0.18138616620095005
614,"poly(TWI_3, 2) + poly(HLI_7, 2) + poly(PLC_7, 2) + poly(PLC_1, 2) + poly(TP5_15, 2)",Achillea erba-rotta subsp. moschata,0.06004327673444365,0.08843544163265715
615,"poly(PLC_15, 2) + poly(TR5_1, 2) + poly(VR3_1, 2) + poly(TP5_19, 2) + poly(VR3_19, 2)",Achillea erba-rotta subsp. moschata,0.06858689225921666,0.09535374000767516
616,"poly(TR5_3, 2) + poly(TR5_15, 2) + poly(HLI_7, 2) + poly(PLC_1, 2) + poly(TP5_7, 2)",Achillea erba-rotta subsp. moschata,0.09963934504908512,0.1254801096907474
617,"poly(TLC_15, 2) + poly(TP5_19, 2) + poly(TP5_7, 2) + poly(HLI_1, 2) + poly(VR3_1, 2)",Achillea erba-rotta subsp. moschata,0.050291467010846747,0.08114805313217965
618,"poly(TWI_3, 2) + poly(TR5_1, 2) + poly(TWI_1, 2) + poly(HLI_1, 2) + poly(TP5_19, 2)",Achillea erba-rotta subsp. moschata,0.09157507944455556,0.11410554891085367
619,"poly(TLC_1, 2) + poly(TWI_3, 2) + poly(TLC_7, 2) + poly(VR3_19, 2) + poly(HLI_15, 2)",Achillea erba-rotta subsp. moschata,0.04946468813392313,0.07837248316868473
620,"poly(TWI_19, 2) + poly(HLI_1, 2) + poly(TLC_3, 2) + poly(TR5_1, 2) + poly(PLC_7, 2)",Achillea erba-rotta subsp. moschata,0.09211617781103887,0.11816305895088586
621,"poly(TR5_7, 2) + poly(PLC_3, 2) + poly(SLP_3, 2) + poly(HLI_15, 2) + poly(PLC_7, 2)",Achillea erba-rotta subsp. moschata,0.1022030265262096,0.12979920922273713
622,"poly(TWI_19, 2) + poly(SLP_15, 2) + poly(TP5_7, 2) + poly(PLC_15, 2) + poly(SLP_19, 2)",Achillea erba-rotta subsp. moschata,0.11519309401553568,0.13548194938989555
623,"poly(MDI_1, 2) + poly(HLI_15, 2) + poly(TR5_3, 2) + poly(HLI_1, 2) + poly(TWI_15, 2)",Achillea erba-rotta subsp. moschata,0.11256166980556781,0.15493659356474487
624,"poly(TLC_19, 2) + poly(PLC_15, 2) + poly(PLC_3, 2) + poly(TR5_15, 2) + poly(TLC_15, 2)",Achillea erba-rotta subsp. moschata,0.10693415211716017,0.12682814889952065
625,"poly(TR5_1, 2) + poly(VR3_19, 2) + poly(TWI_15, 2) + poly(SLP_19, 2) + poly(HLI_15, 2)",Achillea erba-rotta subsp. moschata,0.11906803443564551,0.1397037664970554
626,"poly(MDI_7, 2) + poly(SLP_15, 2) + poly(HLI_7, 2) + poly(SLP_19, 2) + poly(TLC_7, 2)",Achillea erba-rotta subsp. moschata,0.13063975501934888,0.19339950640203207
627,"poly(TLC_19, 2) + poly(MDI_19, 2) + poly(TP5_7, 2) + poly(TR5_7, 2) + poly(SLP_3, 2)",Achillea erba-rotta subsp. moschata,0.13644123736630198,0.1910359055642591
628,"poly(MDI_19, 2) + poly(SLP_15, 2) + poly(HLI_1, 2) + poly(VR3_15, 2) + poly(HLI_15, 2)",Achillea erba-rotta subsp. moschata,0.117483646980037,0.17496685710017534
629,"poly(HLI_3, 2) + poly(TP5_15, 2) + poly(PLC_1, 2) + poly(TWI_15, 2) + poly(VR3_1, 2)",Achillea erba-rotta subsp. moschata,0.08727847484149309,0.11676783587245798
630,"poly(TP5_1, 2) + poly(SLP_1, 2) + poly(TLC_3, 2) + poly(TR5_1, 2) + poly(TLC_15, 2)",Achillea erba-rotta subsp. moschata,0.06620742643923672,0.0945878271856847
631,"poly(HLI_1, 2) + poly(TR5_1, 2) + poly(HLI_19, 2) + poly(VR3_3, 2) + poly(PLC_1, 2)",Achillea erba-rotta subsp. moschata,0.061413657870316496,0.08966182975533821
632,"poly(SLP_7, 2) + poly(TWI_7, 2) + poly(PLC_15, 2) + poly(SLP_3, 2) + poly(VR3_15, 2)",Achillea erba-rotta subsp. moschata,0.09352503963636594,0.11493026130036588
633,"poly(PLC_3, 2) + poly(TWI_19, 2) + poly(PLC_15, 2) + poly(TLC_1, 2) + poly(PLC_1, 2)",Achillea erba-rotta subsp. moschata,0.08109179899091679,0.10852563671299309
634,"poly(MDI_15, 2) + poly(TR5_3, 2) + poly(PLC_3, 2) + poly(TLC_7, 2) + poly(MDI_7, 2)",Achillea erba-rotta subsp. moschata,0.10899435163558968,0.1721713200167393
635,"poly(PLC_15, 2) + poly(TR5_1, 2) + poly(TWI_3, 2) + poly(TR5_3, 2) + poly(TLC_15, 2)",Achillea erba-rotta subsp. moschata,0.08968413178816703,0.10959874375248135
636,"poly(PLC_1, 2) + poly(TWI_19, 2) + poly(TLC_7, 2) + poly(HLI_7, 2) + poly(TWI_3, 2)",Achillea erba-rotta subsp. moschata,0.08078279189684168,0.10910864773820961
637,"poly(VR3_7, 2) + poly(PLC_19, 2) + poly(HLI_1, 2) + poly(TLC_19, 2) + poly(TR5_3, 2)",Achillea erba-rotta subsp. moschata,0.07193582149542788,0.10023170079244803
638,"poly(PLC_19, 2) + poly(TLC_19, 2) + poly(TLC_3, 2) + poly(SLP_3, 2) + poly(TWI_7, 2)",Achillea erba-rotta subsp. moschata,0.07853779615015088,0.10241131635483502
639,"poly(SLP_19, 2) + poly(PLC_19, 2) + poly(VR3_1, 2) + poly(HLI_19, 2) + poly(VR3_7, 2)",Achillea erba-rotta subsp. moschata,0.0982611419306253,0.12366098930615321
640,"poly(MDI_7, 2) + poly(HLI_19, 2) + poly(TR5_19, 2) + poly(MDI_3, 2) + poly(TWI_15, 2)",Achillea erba-rotta subsp. moschata,0.15283038506806357,0.19007755652042457
641,"poly(VR3_19, 2) + poly(TLC_19, 2) + poly(TP5_3, 2) + poly(PLC_15, 2) + poly(TP5_19, 2)",Achillea erba-rotta subsp. moschata,0.053548893651025775,0.08618721915954963
642,"poly(TR5_3, 2) + poly(SLP_3, 2) + poly(TP5_1, 2) + poly(TWI_3, 2) + poly(HLI_19, 2)",Achillea erba-rotta subsp. moschata,0.08115957674067187,0.10676910124351335
643,"poly(TR5_1, 2) + poly(TLC_3, 2) + poly(SLP_7, 2) + poly(VR3_19, 2) + poly(VR3_1, 2)",Achillea erba-rotta subsp. moschata,0.0694909209562874,0.09388823364466392
644,"poly(HLI_3, 2) + poly(VR3_19, 2) + poly(TP5_7, 2) + poly(SLP_3, 2) + poly(HLI_15, 2)",Achillea erba-rotta subsp. moschata,0.06398620516109155,0.09214983649225661
645,"poly(VR3_15, 2) + poly(MDI_3, 2) + poly(TR5_1, 2) + poly(MDI_19, 2) + poly(TLC_15, 2)",Achillea erba-rotta subsp. moschata,0.12039076787300262,0.18200892153836667
646,"poly(TWI_1, 2) + poly(TP5_19, 2) + poly(TLC_15, 2) + poly(PLC_3, 2) + poly(TLC_19, 2)",Achillea erba-rotta subsp. moschata,0.071047994185517,0.10336420011909053
647,"poly(TP5_15, 2) + poly(HLI_3, 2) + poly(PLC_7, 2) + poly(TLC_15, 2) + poly(TP5_19, 2)",Achillea erba-rotta subsp. moschata,0.06032522113769789,0.0908886329347166
648,"poly(TWI_7, 2) + poly(VR3_7, 2) + poly(SLP_1, 2) + poly(PLC_3, 2) + poly(TR5_15, 2)",Achillea erba-rotta subsp. moschata,0.11769252012066334,0.13886012708604634
649,"poly(VR3_15, 2) + poly(TLC_1, 2) + poly(HLI_1, 2) + poly(HLI_15, 2) + poly(TR5_15, 2)",Achillea erba-rotta subsp. moschata,0.10004749141877445,0.1256019932595659
650,"poly(TWI_7, 2) + poly(TLC_1, 2) + poly(TP5_19, 2) + poly(HLI_3, 2) + poly(MDI_3, 2)",Achillea erba-rotta subsp. moschata,0.10105017844207154,0.14984548506003115
651,"poly(HLI_15, 2) + poly(TWI_3, 2) + poly(TP5_15, 2) + poly(SLP_7, 2) + poly(TR5_1, 2)",Achillea erba-rotta subsp. moschata,0.08412982130365632,0.10855919198502628
652,"poly(TP5_15, 2) + poly(TWI_1, 2) + poly(TR5_7, 2) + poly(TWI_15, 2) + poly(TWI_7, 2)",Achillea erba-rotta subsp. moschata,0.11622899162477951,0.1348604527759273
653,"poly(VR3_1, 2) + poly(TLC_3, 2) + poly(PLC_1, 2) + poly(TR5_1, 2) + poly(PLC_19, 2)",Achillea erba-rotta subsp. moschata,0.06140787030312178,0.08647331986227524
654,"poly(PLC_1, 2) + poly(HLI_19, 2) + poly(TLC_7, 2) + poly(TWI_1, 2) + poly(TR5_7, 2)",Achillea erba-rotta subsp. moschata,0.10203507554148794,0.12682341555451637
655,"poly(PLC_19, 2) + poly(SLP_19, 2) + poly(MDI_1, 2) + poly(TLC_19, 2) + poly(SLP_1, 2)",Achillea erba-rotta subsp. moschata,0.13486472017491324,0.17302427646322627
656,"poly(TP5_19, 2) + poly(VR3_19, 2) + poly(TR5_3, 2) + poly(TR5_15, 2) + poly(MDI_15, 2)",Achillea erba-rotta subsp. moschata,0.1382024074720033,0.19125683695304452
657,"poly(MDI_3, 2) + poly(VR3_19, 2) + poly(TLC_7, 2) + poly(SLP_7, 2) + poly(MDI_15, 2)",Achillea erba-rotta subsp. moschata,0.10968818774521005,0.17080927645270683
658,"poly(MDI_7, 2) + poly(TWI_7, 2) + poly(MDI_1, 2) + poly(VR3_19, 2) + poly(TWI_3, 2)",Achillea erba-rotta subsp. moschata,0.1213459718069897,0.17645372649572022
659,"poly(VR3_7, 2) + poly(HLI_15, 2) + poly(SLP_15, 2) + poly(TLC_15, 2) + poly(MDI_15, 2)",Achillea erba-rotta subsp. moschata,0.12382171086581739,0.1781517558548743
660,"poly(TLC_1, 2) + poly(TWI_7, 2) + poly(PLC_19, 2) + poly(MDI_7, 2) + poly(TWI_1, 2)",Achillea erba-rotta subsp. moschata,0.1421029901107177,0.1954084897068199
661,"poly(MDI_19, 2) + poly(TLC_15, 2) + poly(TR5_7, 2) + poly(HLI_19, 2) + poly(VR3_19, 2)",Achillea erba-rotta subsp. moschata,0.12492027460268229,0.1844235088803602
662,"poly(TR5_3, 2) + poly(HLI_15, 2) + poly(TP5_15, 2) + poly(PLC_3, 2) + poly(PLC_7, 2)",Achillea erba-rotta subsp. moschata,0.08147053212348943,0.1096455492477133
663,"poly(TR5_15, 2) + poly(VR3_7, 2) + poly(TR5_19, 2) + poly(HLI_3, 2) + poly(HLI_19, 2)",Achillea erba-rotta subsp. moschata,0.10654830056006281,0.13195172164609947
664,"poly(MDI_3, 2) + poly(VR3_7, 2) + poly(TLC_15, 2) + poly(TWI_7, 2) + poly(TLC_3, 2)",Achillea erba-rotta subsp. moschata,0.09956942070646102,0.15386614817368505
665,"poly(TP5_7, 2) + poly(PLC_19, 2) + poly(TLC_19, 2) + poly(TR5_7, 2) + poly(TP5_1, 2)",Achillea erba-rotta subsp. moschata,0.08356927226726119,0.10657547485617458
666,"poly(TR5_3, 2) + poly(PLC_1, 2) + poly(TP5_7, 2) + poly(PLC_15, 2) + poly(HLI_19, 2)",Achillea erba-rotta subsp. moschata,0.08034805072420814,0.10646791436404379
667,"poly(VR3_19, 2) + poly(TWI_7, 2) + poly(SLP_7, 2) + poly(VR3_7, 2) + poly(MDI_15, 2)",Achillea erba-rotta subsp. moschata,0.12696812086838904,0.18764172667737178
668,"poly(SLP_1, 2) + poly(TR5_15, 2) + poly(MDI_15, 2) + poly(TWI_15, 2) + poly(MDI_1, 2)",Achillea erba-rotta subsp. moschata,0.16082954392337445,0.2036476294829196
