index,formulas,species,rsq,rsq_full
700,"poly(PLC_51, 2) + poly(TP5_51, 2) + poly(SLP_101, 2) + poly(VR3_71, 2) + poly(TWI_151, 2)",Achillea erba-rotta subsp. moschata,0.13955671508061662,0.1590267496326747
701,"poly(TP5_101, 2) + poly(SLP_151, 2) + poly(SLP_51, 2) + poly(TR5_71, 2) + poly(TP5_201, 2)",Achillea erba-rotta subsp. moschata,0.20699322343325643,0.20782119547900124
702,"poly(TR5_71, 2) + poly(HLI_101, 2) + poly(HLI_201, 2) + poly(SLP_201, 2) + poly(TP5_101, 2)",Achillea erba-rotta subsp. moschata,0.16284829622157748,0.17192443525309076
703,"poly(SLP_101, 2) + poly(TLC_71, 2) + poly(TWI_51, 2) + poly(MDI_201, 2) + poly(MDI_101, 2)",Achillea erba-rotta subsp. moschata,0.15817581638114553,0.20476636447095042
704,"poly(TWI_51, 2) + poly(TLC_201, 2) + poly(VR3_151, 2) + poly(MDI_71, 2) + poly(TLC_151, 2)",Achillea erba-rotta subsp. moschata,0.23885915309374828,0.26252986620682883
705,"poly(TR5_51, 2) + poly(TLC_201, 2) + poly(VR3_201, 2) + poly(SLP_101, 2) + poly(TP5_101, 2)",Achillea erba-rotta subsp. moschata,0.15695012982318046,0.15780091311122568
706,"poly(VR3_101, 2) + poly(TWI_51, 2) + poly(VR3_151, 2) + poly(MDI_201, 2) + poly(SLP_51, 2)",Achillea erba-rotta subsp. moschata,0.1723965705208279,0.2028522752928006
707,"poly(TLC_101, 2) + poly(TWI_51, 2) + poly(TWI_71, 2) + poly(TP5_101, 2) + poly(TP5_201, 2)",Achillea erba-rotta subsp. moschata,0.1926520695360835,0.2047289549099668
708,"poly(VR3_151, 2) + poly(TP5_201, 2) + poly(HLI_201, 2) + poly(TLC_151, 2) + poly(PLC_101, 2)",Achillea erba-rotta subsp. moschata,0.16489927568854257,0.16549800564981287
709,"poly(VR3_151, 2) + poly(TR5_201, 2) + poly(MDI_151, 2) + poly(PLC_51, 2) + poly(MDI_51, 2)",Achillea erba-rotta subsp. moschata,0.2014825381054729,0.2131827945719137
710,"poly(TLC_151, 2) + poly(PLC_201, 2) + poly(MDI_101, 2) + poly(TR5_51, 2) + poly(SLP_151, 2)",Achillea erba-rotta subsp. moschata,0.19296856629502457,0.2138584418010967
711,"poly(TWI_101, 2) + poly(HLI_51, 2) + poly(TLC_71, 2) + poly(VR3_201, 2) + poly(TP5_151, 2)",Achillea erba-rotta subsp. moschata,0.2037540996278513,0.208207097083695
712,"poly(VR3_101, 2) + poly(SLP_101, 2) + poly(SLP_51, 2) + poly(TWI_71, 2) + poly(TWI_101, 2)",Achillea erba-rotta subsp. moschata,0.1756384043082463,0.18671274843271146
713,"poly(VR3_51, 2) + poly(TWI_201, 2) + poly(VR3_201, 2) + poly(SLP_71, 2) + poly(HLI_101, 2)",Achillea erba-rotta subsp. moschata,0.17946969211331942,0.18277103582712906
714,"poly(VR3_101, 2) + poly(TR5_101, 2) + poly(PLC_151, 2) + poly(MDI_71, 2) + poly(TP5_201, 2)",Achillea erba-rotta subsp. moschata,0.25436762964228765,0.26627922557269046
715,"poly(PLC_71, 2) + poly(TWI_101, 2) + poly(TP5_101, 2) + poly(SLP_151, 2) + poly(SLP_51, 2)",Achillea erba-rotta subsp. moschata,0.16637826911792564,0.17439093348676205
716,"poly(TR5_51, 2) + poly(VR3_71, 2) + poly(TLC_101, 2) + poly(TWI_101, 2) + poly(MDI_51, 2)",Achillea erba-rotta subsp. moschata,0.21205560719646788,0.2409567249061768
717,"poly(HLI_101, 2) + poly(VR3_151, 2) + poly(TR5_51, 2) + poly(PLC_201, 2) + poly(SLP_101, 2)",Achillea erba-rotta subsp. moschata,0.16773085619892303,0.1712568671862802
718,"poly(TWI_201, 2) + poly(SLP_71, 2) + poly(SLP_101, 2) + poly(TLC_151, 2) + poly(TWI_101, 2)",Achillea erba-rotta subsp. moschata,0.15869254665227273,0.16849191624286264
719,"poly(TWI_51, 2) + poly(TLC_51, 2) + poly(MDI_71, 2) + poly(TP5_151, 2) + poly(SLP_51, 2)",Achillea erba-rotta subsp. moschata,0.25730966234982855,0.2797707129321737
720,"poly(VR3_71, 2) + poly(TR5_71, 2) + poly(TP5_71, 2) + poly(TLC_71, 2) + poly(TP5_151, 2)",Achillea erba-rotta subsp. moschata,0.16279356913984322,0.16843116600123953
721,"poly(TLC_201, 2) + poly(MDI_71, 2) + poly(SLP_201, 2) + poly(HLI_51, 2) + poly(TR5_51, 2)",Achillea erba-rotta subsp. moschata,0.21321676561587288,0.23940254282724782
722,"poly(PLC_151, 2) + poly(TR5_51, 2) + poly(VR3_51, 2) + poly(MDI_151, 2) + poly(TLC_151, 2)",Achillea erba-rotta subsp. moschata,0.15488145743916581,0.18335899081842233
723,"poly(PLC_151, 2) + poly(VR3_201, 2) + poly(SLP_51, 2) + poly(SLP_201, 2) + poly(MDI_101, 2)",Achillea erba-rotta subsp. moschata,0.18016009787893772,0.19966017791806312
724,"poly(VR3_151, 2) + poly(TP5_51, 2) + poly(VR3_71, 2) + poly(TWI_101, 2) + poly(TR5_71, 2)",Achillea erba-rotta subsp. moschata,0.17554129205929447,0.1796504751374418
