species,deviance,null_mod,index,resolution,dev_explained,kind
Agrostis schraderiana,0.17008178384537653,0.1361607240263606,ASP,1,0.03392105981901594,species
Agrostis schraderiana,0.17163215165115409,0.1361607240263606,ASP,3,0.035471427624793495,species
Agrostis schraderiana,0.1641114213745598,0.1361607240263606,ASP,7,0.027950697348199216,species
Agrostis schraderiana,0.15670414985641135,0.1361607240263606,ASP,15,0.020543425830050754,species
Agrostis schraderiana,0.1561258531223183,0.1361607240263606,ASP,19,0.019965129095957712,species
Agrostis schraderiana,0.15537551008679695,0.1361607240263606,ASP,25,0.019214786060436362,species
Agrostis schraderiana,0.15452392616930755,0.1361607240263606,ASP,31,0.018363202142946955,species
Agrostis schraderiana,0.15178624723375655,0.1361607240263606,ASP,51,0.015625523207395964,species
Agrostis schraderiana,0.15084736676362054,0.1361607240263606,ASP,71,0.014686642737259947,species
Agrostis schraderiana,0.15212219007740946,0.1361607240263606,ASP,101,0.015961466051048867,species
Agrostis schraderiana,0.15738057869382238,0.1361607240263606,ASP,151,0.02121985466746179,species
Agrostis schraderiana,0.1612643447852219,0.1361607240263606,ASP,201,0.0251036207588613,species
Agrostis schraderiana,0.1666848168790207,0.1361607240263606,ASP,301,0.030524092852660112,species
Agrostis schraderiana,0.17582518438864414,0.1361607240263606,HLI,1,0.03966446036228355,species
Agrostis schraderiana,0.1861910469334358,0.1361607240263606,HLI,3,0.05003032290707521,species
Agrostis schraderiana,0.18304911002131496,0.1361607240263606,HLI,7,0.046888385994954374,species
Agrostis schraderiana,0.18541234372898308,0.1361607240263606,HLI,15,0.049251619702622484,species
Agrostis schraderiana,0.18871221418718231,0.1361607240263606,HLI,19,0.05255149016082172,species
Agrostis schraderiana,0.19418886483619868,0.1361607240263606,HLI,25,0.05802814080983809,species
Agrostis schraderiana,0.19704208010799584,0.1361607240263606,HLI,31,0.06088135608163525,species
Agrostis schraderiana,0.19798393833183692,0.1361607240263606,HLI,51,0.061823214305476326,species
Agrostis schraderiana,0.2013212999093501,0.1361607240263606,HLI,71,0.06516057588298951,species
Agrostis schraderiana,0.2091528901158174,0.1361607240263606,HLI,101,0.0729921660894568,species
Agrostis schraderiana,0.22617049528297217,0.1361607240263606,HLI,151,0.09000977125661158,species
Agrostis schraderiana,0.2375550818315798,0.1361607240263606,HLI,201,0.10139435780521922,species
Agrostis schraderiana,0.2368249404387487,0.1361607240263606,HLI,301,0.1006642164123881,species
Agrostis schraderiana,0.15045544910289654,0.1361607240263606,HSD,1,0.014294725076535952,species
Agrostis schraderiana,0.1519369942179567,0.1361607240263606,HSD,3,0.01577627019159611,species
Agrostis schraderiana,0.14875305231688318,0.1361607240263606,HSD,7,0.012592328290522592,species
Agrostis schraderiana,0.1460866195002325,0.1361607240263606,HSD,15,0.009925895473871904,species
Agrostis schraderiana,0.14591798258443034,0.1361607240263606,HSD,19,0.009757258558069748,species
Agrostis schraderiana,0.14559888794534126,0.1361607240263606,HSD,25,0.009438163918980669,species
Agrostis schraderiana,0.1447818998932986,0.1361607240263606,HSD,31,0.008621175866938002,species
Agrostis schraderiana,0.14338834828369085,0.1361607240263606,HSD,51,0.007227624257330256,species
Agrostis schraderiana,0.14374288937801372,0.1361607240263606,HSD,71,0.007582165351653125,species
Agrostis schraderiana,0.1461920752839888,0.1361607240263606,HSD,101,0.010031351257628218,species
Agrostis schraderiana,0.15146168913653335,0.1361607240263606,HSD,151,0.01530096511017276,species
Agrostis schraderiana,0.1552022925986215,0.1361607240263606,HSD,201,0.019041568572260914,species
Agrostis schraderiana,0.1600594151059227,0.1361607240263606,HSD,301,0.023898691079562107,species
Agrostis schraderiana,0.16486520449222553,0.1361607240263606,MBI,1,0.028704480465864934,species
Agrostis schraderiana,0.1667539779415591,0.1361607240263606,MBI,3,0.030593253915198515,species
Agrostis schraderiana,0.16737345572663775,0.1361607240263606,MBI,7,0.031212731700277163,species
Agrostis schraderiana,0.1720459724127711,0.1361607240263606,MBI,15,0.035885248386410495,species
Agrostis schraderiana,0.18093753875912832,0.1361607240263606,MBI,19,0.044776814732767733,species
Agrostis schraderiana,0.18833683232911524,0.1361607240263606,MBI,25,0.052176108302754654,species
Agrostis schraderiana,0.1911272070155272,0.1361607240263606,MBI,31,0.05496648298916662,species
Agrostis schraderiana,0.18739017797845325,0.1361607240263606,MBI,51,0.05122945395209266,species
Agrostis schraderiana,0.18339919456755416,0.1361607240263606,MBI,71,0.04723847054119357,species
Agrostis schraderiana,0.18629910396775273,0.1361607240263606,MBI,101,0.05013837994139214,species
Agrostis schraderiana,0.186406804032196,0.1361607240263606,MBI,151,0.050246080005835414,species
Agrostis schraderiana,0.1670769692830555,0.1361607240263606,MBI,201,0.030916245256694896,species
Agrostis schraderiana,0.14911882660595355,0.1361607240263606,MBI,301,0.012958102579592956,species
Agrostis schraderiana,0.1427234511787162,0.1361607240263606,MDI,1,0.0065627271523556185,species
Agrostis schraderiana,0.14175030377371978,0.1361607240263606,MDI,3,0.005589579747359186,species
Agrostis schraderiana,0.14310564706138462,0.1361607240263606,MDI,7,0.006944923035024031,species
Agrostis schraderiana,0.14578309528677347,0.1361607240263606,MDI,15,0.009622371260412876,species
Agrostis schraderiana,0.14852571858321917,0.1361607240263606,MDI,19,0.012364994556858577,species
Agrostis schraderiana,0.14941236183744,0.1361607240263606,MDI,25,0.013251637811079409,species
Agrostis schraderiana,0.14760339730977545,0.1361607240263606,MDI,31,0.011442673283414861,species
Agrostis schraderiana,0.15203371554956358,0.1361607240263606,MDI,51,0.015872991523202984,species
Agrostis schraderiana,0.1530485435704565,0.1361607240263606,MDI,71,0.016887819544095906,species
Agrostis schraderiana,0.15114349069460764,0.1361607240263606,MDI,101,0.01498276666824705,species
