species,deviance,null_mod,index,resolution,dev_explained,kind
sp_richness,0.3668155666512789,0.325280502871653,ASP,1,0.0415350637796259,species
sp_richness,0.3658725218583122,0.325280502871653,ASP,3,0.040592018986659206,species
sp_richness,0.36376508906620786,0.325280502871653,ASP,7,0.03848458619455486,species
sp_richness,0.3700750945575424,0.325280502871653,ASP,15,0.044794591685889396,species
sp_richness,0.37211827166429245,0.325280502871653,ASP,19,0.046837768792639456,species
sp_richness,0.37130135972321976,0.325280502871653,ASP,25,0.04602085685156676,species
sp_richness,0.37067494797474965,0.325280502871653,ASP,31,0.04539444510309665,species
sp_richness,0.3653318593556456,0.325280502871653,ASP,51,0.040051356483992606,species
sp_richness,0.3615951190673813,0.325280502871653,ASP,71,0.03631461619572829,species
sp_richness,0.3595679139176211,0.325280502871653,ASP,101,0.03428741104596811,species
sp_richness,0.362943383649308,0.325280502871653,ASP,151,0.037662880777655006,species
sp_richness,0.36667879781942037,0.325280502871653,ASP,201,0.04139829494776737,species
sp_richness,0.36903759466777253,0.325280502871653,ASP,301,0.04375709179611953,species
sp_richness,0.3874163021351533,0.325280502871653,HLI,1,0.062135799263500324,species
sp_richness,0.3964742857446236,0.325280502871653,HLI,3,0.07119378287297062,species
sp_richness,0.39308532152717157,0.325280502871653,HLI,7,0.06780481865551857,species
sp_richness,0.3880838764116269,0.325280502871653,HLI,15,0.0628033735399739,species
sp_richness,0.3881712365802843,0.325280502871653,HLI,19,0.0628907337086313,species
sp_richness,0.39011182472423733,0.325280502871653,HLI,25,0.06483132185258433,species
sp_richness,0.392534577950034,0.325280502871653,HLI,31,0.06725407507838099,species
sp_richness,0.39245936319574104,0.325280502871653,HLI,51,0.06717886032408804,species
sp_richness,0.3958721075362085,0.325280502871653,HLI,71,0.0705916046645555,species
sp_richness,0.398048463902138,0.325280502871653,HLI,101,0.072767961030485,species
sp_richness,0.39924531286865805,0.325280502871653,HLI,151,0.07396480999700505,species
sp_richness,0.4005421229745908,0.325280502871653,HLI,201,0.0752616201029378,species
sp_richness,0.40370543645517454,0.325280502871653,HLI,301,0.07842493358352154,species
sp_richness,0.34931462446409833,0.325280502871653,HSD,1,0.024034121592445334,species
sp_richness,0.3481160412686418,0.325280502871653,HSD,3,0.02283553839698882,species
sp_richness,0.34807419684137775,0.325280502871653,HSD,7,0.02279369396972475,species
sp_richness,0.35127315012232707,0.325280502871653,HSD,15,0.025992647250674072,species
sp_richness,0.3520943953808344,0.325280502871653,HSD,19,0.026813892509181425,species
sp_richness,0.3524511677351482,0.325280502871653,HSD,25,0.027170664863495175,species
sp_richness,0.3523014318342237,0.325280502871653,HSD,31,0.02702092896257069,species
sp_richness,0.35102571973657914,0.325280502871653,HSD,51,0.025745216864926146,species
sp_richness,0.3494014474762315,0.325280502871653,HSD,71,0.024120944604578476,species
sp_richness,0.34765777858418845,0.325280502871653,HSD,101,0.02237727571253545,species
sp_richness,0.34958550919335774,0.325280502871653,HSD,151,0.024305006321704736,species
sp_richness,0.35246855514070874,0.325280502871653,HSD,201,0.02718805226905574,species
sp_richness,0.3573085915206442,0.325280502871653,HSD,301,0.032028088648991204,species
sp_richness,0.32969394078763037,0.325280502871653,MBI,1,0.0044134379159773696,species
sp_richness,0.33283661310812085,0.325280502871653,MBI,3,0.00755611023646785,species
sp_richness,0.33205234275179885,0.325280502871653,MBI,7,0.006771839880145847,species
sp_richness,0.3301577316291311,0.325280502871653,MBI,15,0.0048772287574780915,species
sp_richness,0.32944026482077915,0.325280502871653,MBI,19,0.004159761949126151,species
sp_richness,0.3298010663466018,0.325280502871653,MBI,25,0.00452056347494878,species
sp_richness,0.32921921858048053,0.325280502871653,MBI,31,0.003938715708827534,species
sp_richness,0.33130347158997386,0.325280502871653,MBI,51,0.006022968718320865,species
sp_richness,0.3358254181844741,0.325280502871653,MBI,71,0.01054491531282109,species
sp_richness,0.334543096632996,0.325280502871653,MBI,101,0.009262593761342974,species
sp_richness,0.3318543808052913,0.325280502871653,MBI,151,0.0065738779336382835,species
sp_richness,0.326361826326508,0.325280502871653,MBI,201,0.00108132345485501,species
sp_richness,0.3291874885999113,0.325280502871653,MBI,301,0.0039069857282583165,species
sp_richness,0.33214137774400343,0.325280502871653,MDI,1,0.006860874872350431,species
sp_richness,0.33188150030905395,0.325280502871653,MDI,3,0.006600997437400946,species
sp_richness,0.3368652953462775,0.325280502871653,MDI,7,0.011584792474624517,species
sp_richness,0.33618987678656664,0.325280502871653,MDI,15,0.010909373914913645,species
sp_richness,0.339442337152966,0.325280502871653,MDI,19,0.014161834281313013,species
sp_richness,0.3377306112825934,0.325280502871653,MDI,25,0.012450108410940408,species
sp_richness,0.3375721932670165,0.325280502871653,MDI,31,0.012291690395363486,species
sp_richness,0.33867765364068825,0.325280502871653,MDI,51,0.013397150769035249,species
sp_richness,0.3417938353312068,0.325280502871653,MDI,71,0.016513332459553776,species
sp_richness,0.34069040270352324,0.325280502871653,MDI,101,0.015409899831870244,species
sp_richness,0.340611400824139,0.325280502871653,MDI,151,0.015330897952485989,species
sp_richness,0.33577550355023256,0.325280502871653,MDI,201,0.010495000678579558,species
sp_richness,0.32935787405934125,0.325280502871653,MDI,301,0.00407737118768825,species
sp_richness,0.33133536980014955,0.325280502871653,MFA,1,0.0060548669284965495,species
sp_richness,0.33064576986764505,0.325280502871653,MFA,3,0.005365266995992046,species
sp_richness,0.33025523633883347,0.325280502871653,MFA,7,0.00497473346718047,species
sp_richness,0.3357556772558361,0.325280502871653,MFA,15,0.010475174384183106,species
